#;Тема;Назначена;Модуль;Категория ошибки;Трудозатраты
80102;[int] Падение Омеги при открытии классификаторов;PVA;Классификаторы;not available;1,5
79932;Ошибка отображения строки сортировки в отчете ТП в присоединенной форме;PVA;Техпроцессы;new;24,75
80461;По КВ дает зарезервировать больше чем требуется ;REI;Складской учет;new;4,5
80433;Падение Омеги  при открытии списка КВ , а так же при работе с составом КВ;REI;Складской учет;new;10,5
80100;Падение Омеги ;REI;Складской учет;new;2,4
80582;При расчете производстенных мощностей, система повторно умножает трудоемкость по оборудованию на кол-во планируемых элементов.;SPS;Планирование заводское;new;2
80272;"Задача планировщика ""Удаление неактуальных тех.данных в ПП"" - не отображается индикация прогресса серверного задания";SPS;Планирование заводское;regressive;6
80175;"Модель планирования ""Заслон v.2"". Длительный расчет ПП ""test_PAV_20250930_aizp1""";SPS;Планирование заводское;new;3
79887;МЛ. Заказы МЛ по партиям. Не верное распределение кол-ва при расчете ПП с нестандартным подбором ТП;SPS;Учет в производстве;new;5
79292;"Модель планирования ""ОбКП Арсенал"". Раскрытие состава при расчете ПП, где планируемый элемент - спецификация-заказ";SPS;Планирование заводское;regressive;3,75
80212;Ошибка ORA-01747 при открытии производственных программ;SPS_KAD_KRA_MNE;Планирование заводское;not available;0
80179;[int] В карточке свойств цены не удается заполнить текстовые поля;SPS_KAD_KRA_MNE;Цены;not available;0,45
80236;Окно ошибки при закрытии окна ЖВК из учетной карточки.;SSB;Упр. качеством;refactoring;1,4
80222;"Не происходит добавление ""Распоряжение о передаче работ (РПР)""";SSB;Планирование заводское;not available;0
79833;Заполнение полей <Номер захода> и <Признак последнего захода> в ЦПГ 2.0;SSB;Планирование заводское;not available;24
78903;Отсутствуют предусмотренные ТЗ верификации на операциях ЖЦ АПС;SSB;Планирование заводское;postanovka;2,5
78886;АПС не контролирует комбинированные операции;SSB;Планирование заводское;postanovka;10
78881;Не работает ограничение прав по подразделению пользователя при работе с АПС;SSB;Планирование заводское;postanovka;1
78816;Не отображаются дроби в трудоемкости АПС;SSB;Планирование заводское;postanovka;0,5
80109;Отсутствует возможность изменения значений атрибутов с типом Дата в карточке (не табличный вид) нормы расхода вспомогательного материала;SVA;Мат. нормативы;new;6,9
79082;Присоединенная форма плана;GIY;Планирование заводское;old;21,6
79028;"Ошибка создания БО ""Справка о затратах """;GIY;Нормативные затраты;new;3
78834;Ошибка добавления элементов с отрицательным количеством в Дополнение плана производства;GIY;Планирование заводское;old;17,85
80524;Исправить выгрузку остатков через апи;SAV;Складской учет;zakazchik;2,5
80239;Не зачитываются остатки с архивных карточек;SAV;Складской учет;zakazchik;43
79950;Не отображается номер объекта для атрибутов учета;SAV;Складской учет;new;2,5
79685;АИЗП. Ошибочное количество при отнесении партий;SAV;Складской учет;new;2
81411;Калькуляция. На базе заказчика не сохраняется калькуляция от РасчОб;KRA;Нормативные затраты;new;6
81378;"Не работает сортировка в отчете ""Контрактные спецификации комплектаций""";DMY;Констр. объекты;regressive;1
81375;[code64] Ошибка oracle при создании ревизии ТП;DMY;Техпроцессы;old;1,85
81344;При выключенном НС 435=0,  копируя ТП на КЭ автоматом проставляется номер по порядку и ошибка при копировании ТП на КЭ;DMY;Техпроцессы;new;4
81338;Не корректно работает сортировка по колонкам в извещениях на изменение, в извещениях на изменение маршрутов, в списке извещений на изменение материальных нормативов;MNS;Констр. объекты;new;4,2
81336;"Не работает сортировка в отчете ""Извещения на изменение""";DMY;Констр. ИИ;regressive;1,5
81333;"Не корректно читает csv  файл  , если в строке указана точка с запятой  "";"".";AVS;Складской учет;old;3
81306;[int] Падение при добавлении ссылки на ТТП;DMY;Техпроцессы;old;4,35
81291;Ошибка импорта Профессии через универсальный XML импорт;KAD;Базовые справочники;old;2,5
81289;"Калькуляция. Не отображается источник данных ""Расчет НЗ"". РасчОб. Удалить записи с кол-м =0 из содержимого РасчОб";KRA;Нормативные затраты;new;2,1
81287;"Не работает сортировка колонок в БО ""Заказы в производство""";MAR;Заказы;modification;8,83
81283;МЛ. Не заполняется Идентификатор строк ЗнП при расчете ПП с учетом МЛ;CHIG;Планирование цеховое;new;0,7
81282;[int] Ошибка изменения номера по порядку ТП для КЭ;DMY;Техпроцессы;old;2,2
81279;Ошибка при актуализации ПП с Дополнением;KAD;Планирование заводское;old;11
81269;Ошибки после тестирования заказчиком. Функционал ТЭП. Часть 2. Коэффициенты в содержимом калькуляции;KRA;Нормативные затраты;old;5,8
81255;Ошибка формирования БЫЛО/СТАЛО извещения на изменение маршрута для параллельных и множественных маршрутов;MNS;Маршруты;new;2,25
81245;Проблема при копировании КСО ЗЧМ;MNE;FOP/FOS;new;9
81243;"Просмотр объекта у пользователя без права ""Просмотр объекта""";PMG;Бизнес-объекты;not available;0,95
81231;Ошибки после тестирования заказчиком. Функционал ТЭП. Часть 1;KRA;Нормативные затраты;new;8,4
