#;Тема;Назначена;Модуль;Категория ошибки;Трудозатраты
81529;Перечень отчетов в форме от разных БО;ADP;Бизнес-объекты;regressive;11,1
81523;Омега зависает при добавлении тп как ссылка;DMY;Техпроцессы;old;3,8
81514;[int] Слетает фильтрация при формировании содержимого ССЗ;CHIG;Учет в производстве;old;1,2
81513;Ошибка отображения содержимого операции;DMY;Техпроцессы;regressive;2,25
81512;"В содержимом ИИМТ для элемента в колонке ""Кол-во на узел"" отображается значение в процентах";DMY;Маршруты;modification;2,2
81511;Неинформативный протокол при импорте из SW PDM;MAR;Констр. объекты;modification;6
81510;Калькуляция. Некорректная работа режима редактирования в содержимом калькуляции;KRA;Нормативные затраты;old;8,4
81507;Калькуляция. Загрузка данных в статью калькуляции из Excel. Не грузятся данные из файла, сформированного ПС 685 (Статистика) - несоответствие формата;KRA;Нормативные затраты;new;0,9
81506;[int] Редактирование утверждённого ТТП через операцию ссылку, которая на него ссылается;DMY;Техпроцессы;old;7,7
81495;Некорректная работа Заголовка в отчетах без входного фильтра;MPS;Разное;new;12,9
81476;Падение при открытии трудовых нормативов;DMY;Планирование заводское;not available;0,4
81474;[int] Копируются основные материалы КЭ при создании ревизии КЭ при отключенном НС 461 - Материалы не копируются;PMG;Констр. объекты;old;3,5
81473;Исправление сортировки в колонках содержимого БО План-задания;CHIG;Планирование цеховое;patch;0,9
81467;Некорректно проставляется наименование Инструкции ;ADP;Бизнес-объекты;new;2,1
81466;Некорректно работает Маркировка списка БО Договор ;CHIG;Договоры;new;5,45
81464;[int] Не выбирается цех операции при поиске;DMY;Техпроцессы;old;10
81459;[int] Ошибка оракл ORA-00904 при задании ссылки на КЭ в отчете, реализованном через настройку содержимого;MAR;Бизнес-объекты;old;9
81453;"На викли не подтягиваются операции в отчет ""трудоемкость и стоимость операции""";DMY_GIY_BEA_MNS_MSV;Техпроцессы;support;0
81451;"Не правильно определяется ""Признак последней операции в цехозаходе""";SSB;Планирование цеховое;postanovka;4
81447;Система падает после того как пользователь переместит оснастку между переходами а затем удалит ее;DMY;Техпроцессы;old;12,2
81443;"Ошибка при добавлении атрибута с типом ""Атрибут-множественная ссылка""";ADP;Объекты системы;old;4
81441;Ошибка перенумерации при групповом удалении переходов;DMY;Техпроцессы;old;3
81440;"Падение Омеги при закрытии окна ""Поиск"" в ""Извещении на изменение техпроцесса""";DMY;Разное;old;5,2
81437;"Ошибка при добавлении атрибута ""Параметр объекта""";ADP;Объекты системы;new;1
81436;Ошибка расчета потребности материала ( Вспомогательных ТП) по операциям-ссылкам на ТТП;DMY;Техпроцессы;old;8,55
81431;Создание блоков замен до завершения отложенного создания замен по КР;PMG;Констр. объекты;new;11,4
81430;Слетают зависимости Материалов от Цвета при копировании операции;DMY;Техпроцессы;old;3,1
81426;[int] Ошибка сохранения маршрута;DMY;Маршруты;old;1,45
81421;[int] PostgreSQL: Ошибка PostgreSQL [22001] - при открытии списка приходных ордеров;AVS_SAV_CHIG_SSB_REI_ASA;Складской учет;postanovka;0,2
81408;Ошибка PostgreSQL [42601] (кривой запрос);PMG_ADP_BIV_KYD_MPS;Констр. объекты;not available;1
81407;Создание записей в справочнике заменителей для выдачи в производство при открытии КР с заменами по разным заказм ;PMG;Констр. объекты;modification;4,7
81394;Некорректно работает формирование Схем заголовков ;MPS;Разное;new;13
81382;Настройки видов операций в расчете ПП;MPS;Планирование заводское;old;33,9
81374;[int] Не отображаются детали на закладке Материалы для ГТП и ТТП ;DMY;Техпроцессы;new;0
81361;[int] Корректировка сообщения об ошибке;MAR;Констр. объекты;modification;0,4
81337;Отсутствует зависимость НРВспом от заказа при создании нормы с зависимостью от заказа;DMY;Мат. нормативы;code64;5,4
81335;При расчете произсводсвтенной программы вылазит ошибка ORA-00904;KAD;Планирование заводское;support;0
81327;Ошибка постгре в выборке по всем изделиям ;ADP;Констр. объекты;postgre;5
81293;"Не работает сортировка в окне ""Список планов производства"" ";MAR;Планирование заводское;modification;11,1
81238;Список партий: некорректная сортировка части колонок;MAR;Планирование заводское;modification;21,78
81132;Невозможно удалить ВЗН СУ из склада в цех у которой было размещение по местам хранения ;REI;Складской учет;old;5
81131;Отсутствие обновления статуса «Синхронизировано» в скользящем сводном плане и синхронизации ревизии в связанном заказе в производство при актуализации плана.;KAD;Планирование заводское;modification;16,1
81128;"Модель планирования ""Арсенал"". Учет остатков";SPS;Планирование заводское;regressive;6
81117;Работоспособность формул PLSQL на PG;BIV;Объекты системы;postgre;16,8
81105;"Не формируется Спецификация входного контроля когда одна и та же РРС имея разные входимости несколько раз   БО ""Спецификация входного контроля"" (#75851)";ADP;Констр. объекты;modification;4,1
81083;[int] Некорректный перечень атрибутов от объектов на базе PG;PMG_ADP_BIV_KYD_MPS;Объекты системы;not available;0,7
81016;"После множественного выбора получателей в вх.фильтре ВЗН СУ пропадает кнопка ""Список складов""";CHIG;Складской учет;old;4,2
80872;Ошибка отображения ВЗН  при сканировании МЛ;AVS_SAV_CHIG_SSB_REI_ASA;Учет в производстве;new;0,5
80325;"[int] Ошибка PostgreSQL [42703] при раскрытии состава спецификации по ""+""";AVS_SAV_CHIG_SSB_REI_ASA;Констр. объекты;postgre;0
80267;Некорректная работа заголовков (права пользователей);MAR;Констр. объекты;modification;5
80205;"Учет дополнений в плане производства  не верное значение ""Было""";KAD;Планирование заводское;old;4,25
80093;Ошибка/коммуникация удаления элемента блока замен, который создан с учетом исполнений;ADP;Констр. объекты;old;4,5
80074;Долго выполняется расчет обеспеченности;AVS;Снабжение;new;10,7
79758;Параметр планирования Длительность изготовления ДСЕ. Источник данных о трудоемкости - техпроцесс;SPS;Планирование заводское;regressive;7
79572;Созданный приход от АПер попадает на архивную цеховую карточку;ASA;Учет в производстве;old;9
79319;[int] при применении схемы заголовка к отчету, прокрутка строк работает некорректно;AVI;Констр. объекты;not available;1,5
78922;"Ошибка обязательности для заполнения реквизита ""Подразделение"" в карточке св-в БО Договор";ASA;Договоры;modification;3,3
