#;Тема;Назначена;Модуль;Категория ошибки;Трудозатраты
76782;Ошибка при работе ВТМ;DMY;Маршруты;old;1,4
76780;[int] PostgreSQL: Ошибка PostgreSQL [42883] - при удалении спецификации;PMG_ADP_BIV_KYD_MPS;Констр. объекты;not available;0,1
76779;[int] PostgreSQL: Ошибка PostgreSQL [42883] - при добавлении элемента в заказ;MNE;Заказы;not available;0,15
76776;Не работает ограничение по цеху при учёте технужд;SPS;Планирование заводское;zakazchik;13,7
76762;[int] ошибка загрузки операций по ссылке;DMY;Техпроцессы;new;0,6
76745;Утверждение ведомости  режима 2 влияет на содержимое утвержденной ведомости режима1;DMY;Техпроцессы;new;1,33
76741;При создании новой выборки объектов, слетает  порядок колонок грида;DMY;Разное;modification;1,5
76736;Ошибка фильтрации  объектов Ведомости НВР через сохраненный фильтр;ADP;Бизнес-объекты;new;3,6
76712;"Продукция. Перечень изделий. Не сохраняются настройки ""Заголовка"" для таблицы";ADP;Классификаторы;old;2,65
76711;Калькуляция. Не отрабатывает функция по зачитке цен в разрезе типопредставителей (для МЭТЗ);KRA;Нормативные затраты;modification;2,8
76709;Падение при открытии отчета по аутсорсингу от ПП;KAD;Планирование заводское;new;1,5
76703;[int] Дублирование колонок. Не отображаются идентификаторы объектов;PMG;Объекты системы;regressive;1,95
76702;Потоки работ 2.0. Падение при переходе на вкладку роли пользовательской работы;BIV;Потоки работ;old;2,8
76700;Потоки работ 2.0. Приостановка потока работ ;BIV;Потоки работ;support;4,3
76698;Не сохраняет распределение в позаказном календарном графике.;TDA;Планирование заводское;new;2
76678;Учет задельного заказа и остатков при генерации МЛ на модели СЭЗ Орджоникидзе;CHIG;Учет в производстве;old;2
76671;"Модель ""УВЗ 115"". Не подтягиваются операции из ТП при актуализации ПП";KAD;Планирование заводское;old;4,2
76655;Ведомость в режиме актуализации: Ревизия ТП создается без содержимого;DMY;Техпроцессы;new;8
76649;Не работает входная фильтрация Ведомости норм времени и расценок по Статусу, Владельцу и Атрибутам;DMY;Техпроцессы;new;1,3
76642;[int] При повторном копировании ТП на технологическую спецификацию система создает ревизию!;DMY;Техпроцессы;zakazchik;4,5
76639;"Падение Омеги после  зависания окна ""Настройки Серверного задания"" задачи планировщика Мастер формирования плана";KAD;Планирование проектное;old;14,35
76631;"Не сохраняется значение в колонке ""Место_хранения"" ВЗН УП.Расход";ASA;Учет в производстве;postanovka;5,5
76629;Некорректное отображение кол-во на узел в содержимом ИИМТ;GIY;Маршруты;old;6,9
76626;Ошибка в реестре готовой продукции (отсутствие формы с содержимым);SSB;Складской учет;patch;1,45
76608;Из заголовков отчета ТП пропала колонка Статус;DMY;Техпроцессы;new;1,3
